web-scraper-order,web-scraper-start-url,category,category-href,subcate,subcate-href,PRODU,PRODU-href,NAME,UNIDAD,PRECIO,PREC
"1572321646-356","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Más Verduras","https://www.tottus.com.pe/tottus/browse/M%C3%A1s-Verduras/11.04","Ensaladas y Verduras Empacadas / Picadas","https://www.tottus.com.pe/tottus/browse/Ensaladas-y-Verduras-Empacadas-Picadas/11.02.07","","https://www.tottus.com.pe/tottus/product/TOTTUS/Verduras-para-Arroz-con-Pollo/41076333?navAction=jump&navCount=126","Verduras para Arroz con Pollo   
										TOTTUS","Envase x 200g","S/ 7.39",""
"1572321656-359","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Más Verduras","https://www.tottus.com.pe/tottus/browse/M%C3%A1s-Verduras/11.04","Ensaladas y Verduras Empacadas / Picadas","https://www.tottus.com.pe/tottus/browse/Ensaladas-y-Verduras-Empacadas-Picadas/11.02.07","","https://www.tottus.com.pe/tottus/product/TOTTUS/Rabanito/10164015?navAction=jump&navCount=126","Rabanito   
										TOTTUS","600g es aprox. 10un","S/ 2.99","(
      S/ 4.99
    /KG)"
"1572321950-433","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Más Frutas","https://www.tottus.com.pe/tottus/browse/M%C3%A1s-Frutas/cat1310036","Frutos Secos y Otros Snacks","https://www.tottus.com.pe/tottus/browse/Frutos-Secos-y-Otros-Snacks/cat1420019","","https://www.tottus.com.pe/tottus/product/TOTTUS/Blueberrie-Premium/41807558?navAction=jump&navCount=288","Blueberrie Premium  
										TOTTUS","Envase x 500g","S/ 11.99",""
"1572321782-391","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Verduras","https://www.tottus.com.pe/tottus/browse/Verduras/11.02","Papas, Camotes y otros Tubérculos","https://www.tottus.com.pe/tottus/browse/Papas,-Camotes-y-otros-Tub%C3%A9rculos/cat1260016","","https://www.tottus.com.pe/tottus/product/TOTTUS/Papa-Peruanita-Procesada/10164128?navAction=jump&navCount=198","Papa Peruanita Procesada   
										TOTTUS","1.3Kg es aprox. 5un","S/ 7.40","(
      S/ 5.69
    /KG)"
"1572321457-305","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Mundo Chino","https://www.tottus.com.pe/tottus/browse/Mundo-Chino/cat1260024","Ver todas","https://www.tottus.com.pe/tottus/browse/Ver-todas/cat1260029","","https://www.tottus.com.pe/tottus/product/TOTTUS/Cebollita-China/10164221?navAction=jump&navCount=12","Cebollita China   
										TOTTUS","Unidad","S/ 1.99",""
"1572321586-341","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Más Verduras","https://www.tottus.com.pe/tottus/browse/M%C3%A1s-Verduras/11.04","Ver Todas","https://www.tottus.com.pe/tottus/browse/Ver-Todas/cat1260023","","https://www.tottus.com.pe/tottus/product/TOTTUS/Habas/41076344?navAction=jump&navCount=82","Habas   
										TOTTUS","Envase 200 Gr","S/ 7.59",""
"1572321621-350","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Más Verduras","https://www.tottus.com.pe/tottus/browse/M%C3%A1s-Verduras/11.04","Hierbas Aromáticas / Infusiones","https://www.tottus.com.pe/tottus/browse/Hierbas-Arom%C3%A1ticas-Infusiones/cat1260022","","https://www.tottus.com.pe/tottus/product/TOTTUS/Perejil/40643100?navAction=jump&navCount=112","Perejil   
										TOTTUS","Unidad","S/ 0.79",""
"1572321439-299","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Mundo Chino","https://www.tottus.com.pe/tottus/browse/Mundo-Chino/cat1260024","Ver todas","https://www.tottus.com.pe/tottus/browse/Ver-todas/cat1260029","","https://www.tottus.com.pe/tottus/product/LA-CASTELLANA/Esparrago-Verde/40889198?navAction=jump&navCount=12","Esparrago Verde  
										LA CASTELLANA","Atado x 250g","S/ 5.59",""
"1572321859-410","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Verduras","https://www.tottus.com.pe/tottus/browse/Verduras/11.02","Brócoli, Apio y Hortalizas","https://www.tottus.com.pe/tottus/browse/Br%C3%B3coli,-Apio-y-Hortalizas/11.02.09","","https://www.tottus.com.pe/tottus/product/TOTTUS/Vainita-Americana/10162075?navAction=jump&navCount=242","Vainita Americana   
										TOTTUS","200g es aprox. 1 puñado","S/ 1.20","(
      S/ 5.99
    /KG)"
"1572322104-469","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Frutas","https://www.tottus.com.pe/tottus/browse/Frutas/11.01","Papayas, Piñas y Tropicales","https://www.tottus.com.pe/tottus/browse/Papayas,-Pi%C3%B1as-y-Tropicales/11.01.09","","https://www.tottus.com.pe/tottus/product/TOTTUS/Pera-Packhams/10161865?navAction=jump&navCount=334","Pera Packhams   
										TOTTUS","600g es aprox. 4un","S/ 3.89","(
      S/ 6.49
    /KG)"
"1572321569-336","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Más Verduras","https://www.tottus.com.pe/tottus/browse/M%C3%A1s-Verduras/11.04","Ver Todas","https://www.tottus.com.pe/tottus/browse/Ver-Todas/cat1260023","","https://www.tottus.com.pe/tottus/product/TOTTUS/Hierba-Buena/10162937?navAction=jump&navCount=82","Hierba Buena   
										TOTTUS","Unidad","S/ 1.49",""
"1572321556-332","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Más Verduras","https://www.tottus.com.pe/tottus/browse/M%C3%A1s-Verduras/11.04","Ver Todas","https://www.tottus.com.pe/tottus/browse/Ver-Todas/cat1260023","","https://www.tottus.com.pe/tottus/product/TOTTUS/Verduras-para-Sopa-Mixta/41076353?navAction=jump&navCount=82","Verduras para Sopa Mixta  
										TOTTUS","Envase x 300g","S/ 6.49",""
"1572321895-420","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Verduras","https://www.tottus.com.pe/tottus/browse/Verduras/11.02","Brócoli, Apio y Hortalizas","https://www.tottus.com.pe/tottus/browse/Br%C3%B3coli,-Apio-y-Hortalizas/11.02.09","","https://www.tottus.com.pe/tottus/product/TOTTUS/Beterraga/10162991?navAction=jump&navCount=242","Beterraga  
										TOTTUS","El atado contiene x 4un","S/ 2.29",""
"1572321653-358","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Más Verduras","https://www.tottus.com.pe/tottus/browse/M%C3%A1s-Verduras/11.04","Ensaladas y Verduras Empacadas / Picadas","https://www.tottus.com.pe/tottus/browse/Ensaladas-y-Verduras-Empacadas-Picadas/11.02.07","","https://www.tottus.com.pe/tottus/product/TOTTUS/Ajos-Pelados/41076332?navAction=jump&navCount=126","Ajos Pelados  
										TOTTUS","Envase x 250g","S/ 9.89",""
"1572321940-432","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Verduras","https://www.tottus.com.pe/tottus/browse/Verduras/11.02","Choclos, Tomates y Lechugas","https://www.tottus.com.pe/tottus/browse/Choclos,-Tomates-y-Lechugas/11.02.04","","https://www.tottus.com.pe/tottus/product/TOTTUS/Tomate-Italiano-Selecto/40350582?navAction=jump&navCount=272","Tomate Italiano Selecto  
										TOTTUS","1Kg es aprox. 8un","S/ 3.49","(
      S/ 3.49
    /KG)"
"1572321732-379","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Verduras","https://www.tottus.com.pe/tottus/browse/Verduras/11.02","Ver Todas","https://www.tottus.com.pe/tottus/browse/Ver-Todas/11.02.01","","https://www.tottus.com.pe/tottus/product/TOTTUS/Aji-Amarillo/10164463?navAction=jump&navCount=156","Aji Amarillo  
										TOTTUS","100g es aprox. 2un","S/ 0.48","(
      S/ 4.79
    /KG)"
"1572321580-339","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Más Verduras","https://www.tottus.com.pe/tottus/browse/M%C3%A1s-Verduras/11.04","Ver Todas","https://www.tottus.com.pe/tottus/browse/Ver-Todas/cat1260023","","https://www.tottus.com.pe/tottus/product/TOTTUS/Ajos-Pelados/41076332?navAction=jump&navCount=82","Ajos Pelados  
										TOTTUS","Envase x 250g","S/ 9.89",""
"1572321642-355","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Más Verduras","https://www.tottus.com.pe/tottus/browse/M%C3%A1s-Verduras/11.04","Ensaladas y Verduras Empacadas / Picadas","https://www.tottus.com.pe/tottus/browse/Ensaladas-y-Verduras-Empacadas-Picadas/11.02.07","","https://www.tottus.com.pe/tottus/product/TOTTUS/Olluquito/41076347?navAction=jump&navCount=126","Olluquito  
										TOTTUS","Envase x 50g","S/ 7.99",""
"1572321604-345","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Más Verduras","https://www.tottus.com.pe/tottus/browse/M%C3%A1s-Verduras/11.04","Hierbas Aromáticas / Infusiones","https://www.tottus.com.pe/tottus/browse/Hierbas-Arom%C3%A1ticas-Infusiones/cat1260022","","https://www.tottus.com.pe/tottus/product/TOTTUS/Huacatay/40643097?navAction=jump&navCount=112","Huacatay   
										TOTTUS","Unidad","S/ 1.59",""
"1572321504-318","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Mundo Chino","https://www.tottus.com.pe/tottus/browse/Mundo-Chino/cat1260024","Verdura China","https://www.tottus.com.pe/tottus/browse/Verdura-China/cat1260025","","https://www.tottus.com.pe/tottus/product/TOTTUS/Ki%C3%B3n/10162911?navAction=jump&navCount=52","Kión   
										TOTTUS","Granel","S/ 1.60","(
      S/ 7.99
    /KG)"
"1572321468-308","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Mundo Chino","https://www.tottus.com.pe/tottus/browse/Mundo-Chino/cat1260024","Ver todas","https://www.tottus.com.pe/tottus/browse/Ver-todas/cat1260029","","https://www.tottus.com.pe/tottus/product/TOTTUS/Cebolla-Roja/40643507?navAction=jump&navCount=12","Cebolla Roja  
										TOTTUS","1Kg es aprox. 4un","S/ 1.49","(
      S/ 1.49
    /KG)"
"1572321814-399","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Verduras","https://www.tottus.com.pe/tottus/browse/Verduras/11.02","Cebollas, Ajos y otros Básicos","https://www.tottus.com.pe/tottus/browse/Cebollas,-Ajos-y-otros-B%C3%A1sicos/11.02.02","","https://www.tottus.com.pe/tottus/product/LINEA-VERDE/Cebollita-China/10465720?navAction=jump&navCount=220","Cebollita China   
										LINEA VERDE","Atado x 300g","S/ 4.79",""
"1572322031-450","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Frutas","https://www.tottus.com.pe/tottus/browse/Frutas/11.01","Limones, Naranjas y otros Cítricos","https://www.tottus.com.pe/tottus/browse/Limones,-Naranjas-y-otros-C%C3%ADtricos/11.01.02","","https://www.tottus.com.pe/tottus/product/TOTTUS/Lim%C3%B3n-Sutil-Extra/20091740?navAction=jump&navCount=322","Limón Sutil Extra  
										TOTTUS","460g es aprox. 15un","S/ 1.15","(
      S/ 2.49
    /KG)
    
    (
      S/ 1.00
    /LT)"
"1572321807-398","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Verduras","https://www.tottus.com.pe/tottus/browse/Verduras/11.02","Papas, Camotes y otros Tubérculos","https://www.tottus.com.pe/tottus/browse/Papas,-Camotes-y-otros-Tub%C3%A9rculos/cat1260016","","https://www.tottus.com.pe/tottus/product/TOTTUS/Papa-Amarilla-Procesada/40643614?navAction=jump&navCount=198","Papa Amarilla Procesada   
										TOTTUS","1Kg es aprox. 4un","S/ 4.99","(
      S/ 4.99
    /KG)"
"1572321450-303","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Mundo Chino","https://www.tottus.com.pe/tottus/browse/Mundo-Chino/cat1260024","Ver todas","https://www.tottus.com.pe/tottus/browse/Ver-todas/cat1260029","","https://www.tottus.com.pe/tottus/product/TOTTUS/Pimiento-Morron/10163556?navAction=jump&navCount=12","Pimiento Morron   
										TOTTUS","300g es aprox. 2un","S/ 1.80","(
      S/ 5.99
    /KG)"
"1572321617-349","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Más Verduras","https://www.tottus.com.pe/tottus/browse/M%C3%A1s-Verduras/11.04","Hierbas Aromáticas / Infusiones","https://www.tottus.com.pe/tottus/browse/Hierbas-Arom%C3%A1ticas-Infusiones/cat1260022","","https://www.tottus.com.pe/tottus/product/TOTTUS/Hierba-Luisa/10162945?navAction=jump&navCount=112","Hierba Luisa   
										TOTTUS","Unidad","S/ 1.19",""
"1572321803-397","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Verduras","https://www.tottus.com.pe/tottus/browse/Verduras/11.02","Papas, Camotes y otros Tubérculos","https://www.tottus.com.pe/tottus/browse/Papas,-Camotes-y-otros-Tub%C3%A9rculos/cat1260016","","https://www.tottus.com.pe/tottus/product/TOTTUS/Papa-Rosada-Canch%C3%A1n-Procesada/40643618?navAction=jump&navCount=198","Papa Rosada Canchán Procesada  
										TOTTUS","1.5Kg es aprox. 4un","S/ 3.88","(
      S/ 2.59
    /KG)"
"1572321481-312","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Mundo Chino","https://www.tottus.com.pe/tottus/browse/Mundo-Chino/cat1260024","Masa Wantan y Otros","https://www.tottus.com.pe/tottus/browse/Masa-Wantan-y-Otros/cat1260026","","https://www.tottus.com.pe/tottus/product/LA-PASTA/Fideos-Chinos/10223542?navAction=jump&navCount=42","Fideos Chinos  
										LA PASTA","Bolsa x 500g","S/ 3.39",""
"1572321529-326","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Mundo Chino","https://www.tottus.com.pe/tottus/browse/Mundo-Chino/cat1260024","Verdura China","https://www.tottus.com.pe/tottus/browse/Verdura-China/cat1260025","","https://www.tottus.com.pe/tottus/product/TOTTUS/Brocoli/10164477?navAction=jump&navCount=52","Brocoli  
										TOTTUS","600g es aprox. 1un","S/ 2.99","(
      S/ 4.99
    /KG)"
"1572321680-366","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Más Verduras","https://www.tottus.com.pe/tottus/browse/M%C3%A1s-Verduras/11.04","Ensaladas y Verduras Empacadas / Picadas","https://www.tottus.com.pe/tottus/browse/Ensaladas-y-Verduras-Empacadas-Picadas/11.02.07","","https://www.tottus.com.pe/tottus/product/TOTTUS/Arveja-Americana/10162060?navAction=jump&navCount=126","Arveja Americana   
										TOTTUS","Granel","S/ 0.60","(
      S/ 5.99
    /KG)"
"1572321633-352","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Más Verduras","https://www.tottus.com.pe/tottus/browse/M%C3%A1s-Verduras/11.04","Ensaladas y Verduras Empacadas / Picadas","https://www.tottus.com.pe/tottus/browse/Ensaladas-y-Verduras-Empacadas-Picadas/11.02.07","","https://www.tottus.com.pe/tottus/product/TOTTUS/Verduras-para-Sopa-Mixta/41076353?navAction=jump&navCount=126","Verduras para Sopa Mixta  
										TOTTUS","Envase x 300g","S/ 6.49",""
"1572321871-413","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Verduras","https://www.tottus.com.pe/tottus/browse/Verduras/11.02","Brócoli, Apio y Hortalizas","https://www.tottus.com.pe/tottus/browse/Br%C3%B3coli,-Apio-y-Hortalizas/11.02.09","","https://www.tottus.com.pe/tottus/product/TOTTUS/Zanahoria/40621224?navAction=jump&navCount=242","Zanahoria   
										TOTTUS","1Kg es aprox. 4un","S/ 1.99","(
      S/ 1.99
    /KG)"
"1572322140-479","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Frutas","https://www.tottus.com.pe/tottus/browse/Frutas/11.01","Manzanas, Plátanos y otros Básicos","https://www.tottus.com.pe/tottus/browse/Manzanas,-Pl%C3%A1tanos-y-otros-B%C3%A1sicos/11.01.06","","https://www.tottus.com.pe/tottus/product/TOTTUS/Manzana-Royal-Gala-Importada/10161826?navAction=jump&navCount=364","Manzana Royal Gala Importada   
										TOTTUS","1Kg es aprox. 7un","S/ 6.99","(
      S/ 6.99
    /KG)"
"1572321487-314","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Mundo Chino","https://www.tottus.com.pe/tottus/browse/Mundo-Chino/cat1260024","Masa Wantan y Otros","https://www.tottus.com.pe/tottus/browse/Masa-Wantan-y-Otros/cat1260026","","https://www.tottus.com.pe/tottus/product/SAN-SEN/Pasta-Wantan/10308499?navAction=jump&navCount=42","Pasta Wantan   
										SAN SEN","Bolsa x 500g","S/ 2.99",""
"1572321825-402","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Verduras","https://www.tottus.com.pe/tottus/browse/Verduras/11.02","Cebollas, Ajos y otros Básicos","https://www.tottus.com.pe/tottus/browse/Cebollas,-Ajos-y-otros-B%C3%A1sicos/11.02.02","","https://www.tottus.com.pe/tottus/product/TOTTUS/Rocoto/10163746?navAction=jump&navCount=220","Rocoto   
										TOTTUS","Unidad","S/ 1.89",""
"1572321956-434","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Más Frutas","https://www.tottus.com.pe/tottus/browse/M%C3%A1s-Frutas/cat1310036","Frutas importadas","https://www.tottus.com.pe/tottus/browse/Frutas-importadas/11.01.03","","https://www.tottus.com.pe/tottus/product/TOTTUS/Manzana-Royal-Gala-Importada/10161826?navAction=jump&navCount=290","Manzana Royal Gala Importada   
										TOTTUS","1Kg es aprox. 7un","S/ 6.99","(
      S/ 6.99
    /KG)"
"1572321524-324","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Mundo Chino","https://www.tottus.com.pe/tottus/browse/Mundo-Chino/cat1260024","Verdura China","https://www.tottus.com.pe/tottus/browse/Verdura-China/cat1260025","","https://www.tottus.com.pe/tottus/product/TOTTUS/Champi%C3%B1on-Entero/41041149?navAction=jump&navCount=52","Champiñon Entero  
										TOTTUS","Envase x 200g","S/ 4.99",""
"1572321717-375","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Verduras","https://www.tottus.com.pe/tottus/browse/Verduras/11.02","Ver Todas","https://www.tottus.com.pe/tottus/browse/Ver-Todas/11.02.01","","https://www.tottus.com.pe/tottus/product/TOTTUS/Tomate-Italiano-Selecto/40350582?navAction=jump&navCount=156","Tomate Italiano Selecto  
										TOTTUS","1Kg es aprox. 8un","S/ 3.49","(
      S/ 3.49
    /KG)"
"1572322038-452","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Frutas","https://www.tottus.com.pe/tottus/browse/Frutas/11.01","Limones, Naranjas y otros Cítricos","https://www.tottus.com.pe/tottus/browse/Limones,-Naranjas-y-otros-C%C3%ADtricos/11.01.02","","https://www.tottus.com.pe/tottus/product/TOTTUS/Toronja-Rosada/10191827?navAction=jump&navCount=322","Toronja Rosada   
										TOTTUS","400g es aprox. 1un","S/ 1.60","(
      S/ 3.99
    /KG)"
"1572321478-311","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Mundo Chino","https://www.tottus.com.pe/tottus/browse/Mundo-Chino/cat1260024","Masa Wantan y Otros","https://www.tottus.com.pe/tottus/browse/Masa-Wantan-y-Otros/cat1260026","","https://www.tottus.com.pe/tottus/product/LA-PASTA/Fideos-Chinos/10165922?navAction=jump&navCount=42","Fideos Chinos  
										LA PASTA","Bolsa x 1Kg","S/ 5.89",""
"1572321863-411","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Verduras","https://www.tottus.com.pe/tottus/browse/Verduras/11.02","Brócoli, Apio y Hortalizas","https://www.tottus.com.pe/tottus/browse/Br%C3%B3coli,-Apio-y-Hortalizas/11.02.09","","https://www.tottus.com.pe/tottus/product/TOTTUS/Zapallo-Macre/10162974?navAction=jump&navCount=242","Zapallo Macre   
										TOTTUS","Granel","S/ 3.49","(
      S/ 3.49
    /KG)"
"1572321882-416","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Verduras","https://www.tottus.com.pe/tottus/browse/Verduras/11.02","Brócoli, Apio y Hortalizas","https://www.tottus.com.pe/tottus/browse/Br%C3%B3coli,-Apio-y-Hortalizas/11.02.09","","https://www.tottus.com.pe/tottus/product/TOTTUS/Pepinillo/10163013?navAction=jump&navCount=242","Pepinillo   
										TOTTUS","500g es aprox. 1un","S/ 1.84","(
      S/ 3.69
    /KG)"
"1572322098-467","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Frutas","https://www.tottus.com.pe/tottus/browse/Frutas/11.01","Papayas, Piñas y Tropicales","https://www.tottus.com.pe/tottus/browse/Papayas,-Pi%C3%B1as-y-Tropicales/11.01.09","","https://www.tottus.com.pe/tottus/product/TOTTUS/Mel%C3%B3n-Coquito/10162738?navAction=jump&navCount=334","Melón Coquito   
										TOTTUS","1.5Kg es aprox. 1un","S/ 6.44","(
      S/ 4.29
    /KG)"
"1572321917-425","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Verduras","https://www.tottus.com.pe/tottus/browse/Verduras/11.02","Choclos, Tomates y Lechugas","https://www.tottus.com.pe/tottus/browse/Choclos,-Tomates-y-Lechugas/11.02.04","","https://www.tottus.com.pe/tottus/product/LINEA-VERDE/Lechuga-Roja/10471113?navAction=jump&navCount=272","Lechuga Roja  
										LINEA VERDE","Bolsa x 200g","S/ 5.29",""
"1572322064-458","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Frutas","https://www.tottus.com.pe/tottus/browse/Frutas/11.01","Papayas, Piñas y Tropicales","https://www.tottus.com.pe/tottus/browse/Papayas,-Pi%C3%B1as-y-Tropicales/11.01.09","","https://www.tottus.com.pe/tottus/product/FRUTIFAST/Aguaymanto/40474243?navAction=jump&navCount=334","Aguaymanto  
										FRUTIFAST","Envase x 250g","S/ 5.89",""
"1572321501-317","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Mundo Chino","https://www.tottus.com.pe/tottus/browse/Mundo-Chino/cat1260024","Verdura China","https://www.tottus.com.pe/tottus/browse/Verdura-China/cat1260025","","https://www.tottus.com.pe/tottus/product/TOTTUS/Ajos-Pelados/41076332?navAction=jump&navCount=52","Ajos Pelados  
										TOTTUS","Envase x 250g","S/ 9.89",""
"1572321900-421","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Verduras","https://www.tottus.com.pe/tottus/browse/Verduras/11.02","Brócoli, Apio y Hortalizas","https://www.tottus.com.pe/tottus/browse/Br%C3%B3coli,-Apio-y-Hortalizas/11.02.09","","https://www.tottus.com.pe/tottus/product/TOTTUS/Apio/10162986?navAction=jump&navCount=242","Apio   
										TOTTUS","Unidad","S/ 2.29",""
