Name,Precio
Acelga Verde Puro x Bolsa,18
Aguaymanto Fresco Pelado Frutas Exoticas Bandeja,27
Aji Amarillo ,7.79
Aji Mirasol Despepitado Naturandes Bandeja,86
Aji Panca Despepitado Naturandes Bandeja,86
Ajos Enteros S/Pelar ,13.79
Ajos Pelados Del Bueno Bandeja,36.76
Ajos Pelados Mr. Ajo Bandeja,46.6
Ajos Pelados Mr. Ajo Bolsa,37.2
Apricot ,59
Arillos de Granada Intipa Foods Pote,48
Arugula Fresca Verde Puro Bolsa,43.13
Arugula Organica Vitta Fresh Caja,123
Arugula Silvestre Verde Puro Bandeja,65
Arveja ,8.99
Arveja Desvainada Bolsa,33.27
Arvejas Fritas ,50
Arvejas Picantes ,54
Beterraga Organica El Almenar Bolsa,12.98
Blueberry Extra Caja,50
Blueberry Extra Wong Bandeja,48
Brocoli ,4.99
Camote Amarillo Procesado ,2.29
Camote Morado Procesado ,3.19
Carambola ,5.2
Cashews Salados ,115
Cebolla Blanca Campo Lindo ,5.29
Cebolla Blanca Organica El Almenar Bolsa,9.05
Cebolla Roja Campo Lindo ,3.19
Champiñon Entero Don Hongo Bandeja,26.45
Champiñon Picado Don Hongo Bandeja,26
Champiñon Picado Paccu Bandeja,32
Champiñones Enteros Paccu Bandeja,31.45
Champiñones enteros Wong Bandeja,30.95
Champiñones Portobello Paccu Bandeja,31.58
Chirimoya Wong ,9.99
Choclo Desgranado Mi Choclito Bolsa,21.56
Choclo Desgranado Wong Bandeja,25.31
Ciruela Importada ,20.5
Coco Fresco en Trozos Natifrut Pote,45.83
Cocona ,6.3
Datiles Frescos El Datil Bandeja,83.27
Ensalada de Frutas Natifrut Papaya Sandia y Piña Bandeja,25
Esparrago Premium La Huerta Wong Bandeja,31.55
Esparrago Verde tipo Exportacion Wong Atado,26.53
Espinaca ,4.19
Espinaca Baby Deshojada Verde Puro Bolsa,43.89
Espinaca Baby Ecologic Bolsa,23.27
Espinaca del Nono Don Miguel Bolsa,14.6
Espinaca Hidroponica de Invernadero Ecologic Bolsa,13
Espinaca Verde puro Bolsa,17.78
Espinaca Wong Bolsa,10.38
Frambuesa Siembra Peru Bandeja,82
Fresa Organica El Almenar Caja,35.11
Fresas Emporio Bandeja,26.65
Garbanzo Picante ,52
Germinado de Alfalfa Age Bandeja,129
Germinado de Brocoli Age Caja,149.9
Germinado de Rabanito Age Bandeja,129
Germinado de Trigo Age Caja,64.5
Granada ,6.99
Guindones con Pepa ,34.5
Habas ,4.49
Higos Enteros Siembra Peru bandeja,21.2
Holantao ,9.99
Holantao La Huerta Bandeja,28.5
Hongos Ostra Willka Bandeja,28.5
Kion ,6.89
Kiwi  ,12.99
Lechuga Morada Delisalad Bolsa,9.63
Lima ,7.7
Limon ,3.99
Limon Tahiti ,7.69
Lucuma Madura ,12.9
Maiz Morado Campo Lindo ,10.89
Mandarina con Pepa La Pecosita Wong ,4.99
Mandarina La Morochita ,3.99
Mango Edward Wong ,5.99
Mani con Pasas ,32
Mani Tostado en Cascara El Guaranguito Bolsa,27.56
Mani Tostado Molido El Guaranguito Pote,26.67
Manzana Delicia Extra ,4.59
Manzana Israel ,4.29
Manzana Rayada ,3.99
Manzana Roja Importada ,6.99
Manzana Royal Gala ,6.99
Manzana Verde Importada ,7.49
Maracuya ,4.99
Melocoton Añawi ,11.99
Melocoton Tipo Exportacion ,15.5
Melon Coquito ,4.59
Melon en Trozos Natifrut Bandeja,21.75
Membrillo ,10.4
Mix de Champiñones Wong Bandeja,33.48
Mix de Germinados Age Caja,129
Mix de Lechugas Hidroponicas Don Miguel Caja,53.33
Mix de Lechugas Verde Puro - Mix de Lechugas BB Verde Puro Bolsa,66
Mix de Lechugas Wong Bolsa,27
Mix para Chicha Morada Campo Lindo Bolsa,41.96
Mixtura de Frutas ,46
Naranja de Mesa Importada ,8.99
Naranja para Jugo Chanchamayo ,2.69
Naranja para Jugo La Morochita ,3.19
Naranja para Jugo La Pecosita ,3.09
Olluco Entero ,7.29
Olluco Especial ,7.99
Palta Fuerte Verde ,11.29
Palta Hass,17
Palta Madura La Cremosita ,16.99
Palta Nava ,9.39
Papa Amarilla Huamantanga ,5.4
Papa Amarilla Peruanita Campo Lindo ,8.4
Papa Amarilla Tumbay extra ,6.29
Papa Blanca Cocktail ,2.69
Papa Blanca Perricholi Procesada ,5
Papa Blanca Procesada Campo Lindo ,3.99
Papa Negra Andina Procesada ,4.59
Papa Yungay Campo Lindo ,3.69
Papaya ,4.99
Papaya en Trozos Natifrut Pote,23.57
Pasas Morenas ,27.5
Pasas Rubias ,49
Pecana Acaramelada ,129
Pecana Pelada ,139
Pepino Melon ,6.2
Pera Canela Importada ,8.29
Pera Packhams ,6.99
Pimiento ,5.99
Piña Golden Deshidratada ,219.5
Piña Golden en Rodajas Mi Querida Piña Pote,26.29
Piña Golden en Trozos Mi Querida Piña Bandeja,26.2
Piña Golden en Trozos Mi Querida Piña Pote,23.14
Piña Golden Kids en Trozos Mi Querida Piña Taper,35.33
Piña Golden Premium ,5.79
Piña para Jugo ,2.49
Platano Biscocho Tipo Exportacion ,5.49
Platano de isla Organico Patt Fresh ,6.6
Platano de Seda ,3.99
Platano de Seda Tipo Exportacion ,5.49
Rabanito La Caserita Bolsa,6.6
Rabanito Organico El Almenar Bolsa,6.78
Rocoto ,10.99
Sandia ,2.49
Sandia en Trozos Natifrut Pote,21.75
Setas Blancas Sori Bandeja,37.95
Setas Solis Bandeja,24.95
Tangelo Canelo ,5.99
Tangelo con Pepa La Pecosita ,5.99
Tomate Cherry Incatom Caja,35.71
Tomate Italiano Siembra Dorada ,3.99
Toronja Rubi ,5.49
Tuna Andina ,6.59
Tuna Roja ,6.29
Tuna Verde ,9
Uva Italia ,9.6
Uva Sultana Nacional ,12.99
Vainita ,6.49
Vainita Seleccionada Villa Nova Bolsa,13.3
Yacon ,6.49
Yuca Parafinada ,5.5
Zanahoria ,2.19
Zanahoria Baby Hidroponica de Invernadero Ecologic Bolsa,26.76
